2022-08-27 17:33:59,538 0      [p-bio-80-exec-9] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 124550
2022-08-27 17:37:03,575 184037 [p-bio-80-exec-5] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 183778
2022-08-27 17:38:14,090 254552 [p-bio-80-exec-1] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 70270
2022-08-27 17:46:35,812 756274 [p-bio-80-exec-3] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 501686
2022-08-27 17:47:54,742 835204 [p-bio-80-exec-3] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 78686
2022-08-28 00:24:31,782 0      [p-bio-80-exec-5] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 1537933
2022-08-28 08:16:37,363 0      [p-bio-80-exec-8] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 84018
2022-08-28 08:16:37,373 10     [p-bio-80-exec-8] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 98791
2022-08-28 08:17:41,183 63820  [p-bio-80-exec-9] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 61376
2022-08-28 08:32:14,676 0      [p-bio-80-exec-8] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 60348
2022-08-28 08:34:45,356 150680 [p-bio-80-exec-8] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 117710
2022-08-28 08:39:38,513 443837 [p-bio-80-exec-7] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 203787
2022-08-28 08:41:25,277 550601 [p-bio-80-exec-4] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 104212
2022-08-28 08:43:23,183 668507 [p-bio-80-exec-9] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 114814
2022-08-28 08:53:37,584 1282908 [p-bio-80-exec-7] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 561516
2022-08-28 08:55:03,017 1368341 [p-bio-80-exec-1] ERROR d.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, jdbcUrl : jdbc:mysql://127.0.0.1:3306/basketball_hall?useUnicode=true&characterEncoding=utf-8&serverTimezone=GMT%2B8, lastPacketReceivedIdleMillis : 80757
